1,3887
2,27040
3,84
4,10
5,1
6,19
7,1
8,238
9,5592
10,102
11,2998
12,1241
13,4778
14,5646
15,5900
16,11
17,53
18,1892
19,9
20,902
21,38
22,12
23,159
24,49
25,3
26,95
27,20
28,8
29,3436
30,89
31,289
32,114
33,6925
34,194
35,6
36,765
37,63
38,24
39,0
40,120
41,0
42,38
43,1196
44,55
45,287
46,88
47,26
48,55
49,18
50,69
51,41
52,861
53,85
54,339
55,203
56,2021
57,602
58,519
59,176
60,5025
61,4622
62,6380
63,588
64,0
65,138
66,93
67,0
68,0
69,58
70,306
71,88
72,241
73,137
74,211
75,37
76,360
77,55
78,361
79,121
80,93
81,130
82,803
83,21
84,71
85,571
86,764
87,434
88,1513
89,5
90,62
91,58
92,871
93,4
94,134
95,74
96,872
97,46
98,151
99,1
100,4
101,5
102,17
103,21
104,88
105,0
106,57
107,15
108,26
109,31
110,135
111,5
112,22
113,117
114,741
115,5
116,21
117,38
118,126
119,20
120,54
121,120
122,380
123,117
124,82
125,32
126,131
127,30
128,109
129,94
130,298
131,124
132,17
133,35
134,44
135,59
136,114
137,87
138,84
139,166
140,90
141,125
142,145
143,142
144,280
145,270
146,661
147,833
148,808
149,4
150,76
151,16
152,506
153,12
154,442
155,264
156,4
157,16
158,63
159,262
160,132
161,413
162,51
163,315
164,78
165,469
166,259
167,441
168,11
169,236
170,239
171,41
172,32
173,434
174,25
175,29
176,535
177,16
178,151
179,143
180,50
181,37
182,88
183,3
184,7
185,28
186,63
187,16
188,12
189,42
190,140
191,96
192,96
193,49
194,289
195,8
196,16
197,65
198,386
199,40
200,18
201,29
202,3
203,13
204,26
205,321
206,12
207,8
208,1
209,1
210,1
211,12
212,28
213,39
214,11
215,29
216,20
217,188
218,75
219,3
220,48
221,162
222,23
223,23
224,26
225,138
226,3
227,47
228,0
229,7
230,11
